Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,99.07844434,99.57427361,100.000371,100.2158857,100.06048,99.45983891,97.66791091,95.31270707,92.60278504,89.77377698,86.95446405
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,44.887,43.893,42.779,41.56,40.265,38.94,37.636,36.396,35.253,34.225,
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.696,10.386,10.075,9.771,9.475,9.193,8.927,8.677,8.445,8.23,
Afghanistan,AFG,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,5.49062004,6.29710557,2.94919278,6.92608989,12.7289712,14.40415287,10.17410763,11.668976,10.591285,11.99862788,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.0272439,57.43256098,57.83382927,58.22502439,58.60368293,58.97082927,59.32795122,59.67960976,60.02826829,60.37446341,
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,3.903389931,,3.755980015,,,8.662799835,
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,53.54686374,52.15200827,50.86298722,49.66378746,48.63706706,47.8850759,46.72028803,45.83573858,45.24747679,44.91216842,44.80697279
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.383,11.906,11.631,11.561,11.679,11.952,12.325,12.73,13.106,13.414,
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.957,6.131,6.321,6.508,6.684,6.841,6.981,7.109,7.232,7.35,
Albania,ALB,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,9.66766224,9.04057427,8.88017452,8.36560747,8.46326188,8.46326188,9.85079071,9.71053128,9.76242119,9.36900452,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.08160976,76.28612195,76.47029268,76.65207317,76.84036585,77.03695122,77.24058537,77.44397561,77.64046341,77.83046341,
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,23.31110001,26.62043953,30.65366936,32.07780075,33.40074921,44.54064941,49.67039871,58.56549072,62.54776001,62.70684814,
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,51.66594446,50.40062846,49.48786988,48.91000211,48.64502633,48.68185306,49.23357574,49.84771253,50.60069691,51.53663147,52.61757885
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,20.823,21.659,22.541,23.382,24.11,24.643,24.921,24.946,24.738,24.309,
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.999,5.014,5.036,5.061,5.086,5.108,5.123,5.13,5.131,5.125,
Algeria,DZA,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,8.19110067,7.80450045,8.14056074,8.07079154,9.00945409,9.64613475,9.3656612,9.98819159,9.94780509,9.90462275,
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.19656098,72.55770732,72.89836585,73.21931707,73.52102439,73.80404878,74.07,74.32409756,74.56895122,74.80809756,
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,20.76147079,21.2300396,23.4881897,,29.81871986,29.83456039,31.20259094,32.23133087,33.96575928,34.59381104,
Andorra,ADO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.7,10.6,10.1,10.4,9.9,9.8,,9.5,,,
Andorra,ADO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.6,3.3,2.8,2.8,3.2,2.8,,3.9,,,
Andorra,ADO,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,19.49576618,19.38069555,22.84986475,24.03934868,25.09789318,24.04150838,19.30886114,18.88417767,22.32499002,27.91529512,
Andorra,ADO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,82,,,,,,,,,
Andorra,ADO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,101.7806044,102.2925879,102.563811,102.6091857,102.428788,102.0356901,102.1067563,101.8369004,101.3152345,100.6376673,99.85575099
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,49.592,49.259,48.888,48.473,48.018,47.529,47.018,46.499,45.985,45.483,
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,16.635,16.259,15.918,15.593,15.275,14.959,14.642,14.329,14.021,13.72,
Angola,AGO,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,6.08001916,9.56466881,6.4167073,6.46450754,6.35844866,5.43233059,5.58480061,5.57303128,7.42322054,5.0042944,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464,51.86617073,52.26687805,
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2.748780012,2.69178009,,,,,6.946090221,,9.923569679,,
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),SP.POP.DPND,55.26741387,54.46554149,53.56356557,52.56055054,51.46462608,50.3006599,49.27607404,48.22599434,47.22194954,46.34853168,45.65038071
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.599,18.214,17.849,17.514,17.218,16.968,16.763,16.594,16.447,16.319,
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.461,6.425,6.391,6.354,6.314,6.27,6.224,6.18,6.142,6.111,
Antigua and Barbuda,ATG,"Health expenditure, public (% of government expenditure)",SH.XPD.PUBL.GX.ZS,12.08302914,10.07190438,10.80805582,12.26851746,11.38425212,16.35557274,15.17565915,17.15825866,16.28771257,18.0845175,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.42543902,74.61814634,74.80321951,74.97917073,75.14702439,75.30878049,75.46602439,75.62180488,75.77865854,75.93763415,
Antigua and Barbuda,ATG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,14.81005001,16.2319603,14.36835957,23.48624039,,,
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,58.8036203,58.4838069,58.05360605,57.58879181,57.19767395,56.92908758,56.73718751,56.66254981,56.65528299,56.6303447,56.5453597
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.833,18.691,18.55,18.414,18.283,18.153,18.018,17.874,17.716,17.544,
